,schedule_playoff,spread_favorite,stadium_neutral,weather_wind_mph,home_favorite,away_favorite,weather_detail_Dome,weather_detail_Rain,weather_detail_Snow,weather_detail_Sunny
251,0,1.5,0,5.0,1.0,0.0,0,0,0,1
1569,0,2.5,0,0.0,1.0,0.0,1,0,0,0
360,0,14.0,0,0.0,1.0,0.0,1,0,0,0
236,0,2.5,0,0.0,1.0,0.0,1,0,0,0
1704,0,3.0,0,10.0,0.0,1.0,0,0,0,1
1831,0,6.0,0,4.0,1.0,0.0,0,0,0,1
630,0,1.0,0,0.0,1.0,0.0,1,0,0,0
1988,0,3.0,0,11.0,0.0,1.0,0,0,0,1
1586,0,4.0,0,0.0,1.0,0.0,1,0,0,0
1917,0,6.5,0,0.0,1.0,0.0,1,0,0,0
1111,0,1.0,0,0.0,1.0,0.0,0,0,0,1
887,0,2.5,0,7.0,1.0,0.0,0,0,0,1
1901,0,3.0,0,3.0,0.0,1.0,0,0,0,1
878,0,8.5,0,6.0,1.0,0.0,0,0,0,1
1061,1,7.0,0,4.844106463878327,1.0,0.0,0,0,0,1
356,0,7.5,0,1.0,1.0,0.0,0,0,0,1
506,0,7.0,0,0.0,1.0,0.0,1,0,0,0
1887,0,7.0,0,4.0,1.0,0.0,0,0,0,1
113,0,6.0,0,1.0,1.0,0.0,0,0,0,1
665,0,3.0,0,0.0,1.0,0.0,1,0,0,0
1803,0,2.0,0,15.0,0.0,1.0,0,0,0,1
1789,0,3.0,0,2.0,1.0,0.0,0,0,0,1
795,1,3.0,0,4.844106463878327,1.0,0.0,0,0,0,1
527,1,13.5,0,4.844106463878327,1.0,0.0,0,0,0,1
32,0,5.5,0,0.0,1.0,0.0,1,0,0,0
249,0,6.0,0,5.0,1.0,0.0,0,0,0,1
1773,0,7.0,0,10.0,1.0,0.0,0,0,0,1
81,0,3.0,0,14.0,1.0,0.0,0,0,0,1
497,0,1.0,0,0.0,0.0,1.0,1,0,0,0
1630,0,3.0,0,5.0,1.0,0.0,0,0,0,1
1157,0,4.0,0,7.0,1.0,0.0,0,0,0,1
1578,0,10.0,0,5.0,1.0,0.0,0,0,0,1
1983,0,13.0,0,9.0,1.0,0.0,0,1,0,0
1691,0,7.5,0,7.0,1.0,0.0,0,0,0,1
718,0,6.0,0,0.0,0.0,1.0,0,0,0,1
1279,0,3.5,0,9.0,0.0,1.0,0,0,0,1
1055,0,12.5,0,5.0,1.0,0.0,0,0,0,1
890,0,11.5,0,4.0,1.0,0.0,0,0,0,1
1109,0,14.0,0,7.0,1.0,0.0,0,0,0,1
501,0,10.0,0,4.0,1.0,0.0,0,0,0,1
1543,0,1.0,0,0.0,1.0,0.0,1,0,0,0
225,0,7.5,0,0.0,0.0,1.0,1,0,0,0
321,0,12.0,0,1.0,1.0,0.0,0,0,0,1
597,0,1.5,0,0.0,0.0,1.0,1,0,0,0
167,0,7.5,0,5.0,1.0,0.0,0,0,0,1
1175,0,1.0,0,0.0,1.0,0.0,1,0,0,0
1212,0,9.0,0,0.0,1.0,0.0,0,1,0,0
186,0,7.5,0,1.0,1.0,0.0,0,0,0,1
1496,0,3.0,0,0.0,1.0,0.0,1,0,0,0
415,0,7.0,0,7.0,1.0,0.0,0,0,0,1
1265,0,10.5,0,0.0,1.0,0.0,1,0,0,0
1280,0,3.5,0,2.0,1.0,0.0,0,0,0,1
1564,0,6.5,0,5.0,1.0,0.0,0,0,0,1
830,0,2.5,0,6.0,1.0,0.0,0,1,0,0
1676,0,3.5,0,4.0,1.0,0.0,0,0,0,1
1807,0,2.0,0,9.0,1.0,0.0,0,0,0,1
637,0,6.5,0,9.0,1.0,0.0,0,0,0,1
1554,0,1.0,0,6.0,1.0,0.0,0,0,0,1
2098,0,3.5,0,2.0,0.0,1.0,0,0,0,1
247,0,9.5,0,0.0,1.0,0.0,1,0,0,0
488,0,2.5,0,7.0,0.0,1.0,0,0,0,1
318,0,3.0,0,1.0,0.0,1.0,0,0,0,1
947,0,2.5,0,5.0,0.0,1.0,0,0,0,1
2002,0,3.5,0,0.0,1.0,0.0,1,0,0,0
853,0,11.5,0,8.0,1.0,0.0,0,0,0,1
1066,1,4.0,0,4.844106463878327,1.0,0.0,0,0,0,1
846,0,3.0,0,7.0,1.0,0.0,0,0,0,1
1595,1,7.0,0,0.0,1.0,0.0,1,0,0,0
1270,0,8.0,0,2.0,0.0,1.0,0,0,0,1
420,0,3.0,0,1.0,1.0,0.0,0,1,0,0
1181,0,7.5,0,13.0,1.0,0.0,0,0,0,1
297,0,4.5,0,7.0,1.0,0.0,0,0,0,1
554,0,3.0,0,0.0,0.0,1.0,1,0,0,0
51,0,14.5,0,8.0,1.0,0.0,0,0,0,1
1440,0,8.0,0,9.0,1.0,0.0,0,0,0,1
854,0,2.5,0,0.0,1.0,0.0,1,0,0,0
525,1,7.5,0,4.844106463878327,0.0,1.0,0,0,0,1
1906,0,1.0,0,0.0,0.0,1.0,1,0,0,0
1626,0,5.5,0,6.0,1.0,0.0,0,0,0,1
1629,0,3.0,0,3.0,1.0,0.0,0,0,0,1
6,0,6.0,0,1.0,1.0,0.0,0,1,0,0
858,0,3.0,1,11.0,0.0,1.0,0,0,0,1
548,0,7.0,0,1.0,1.0,0.0,0,0,0,1
1324,1,5.5,0,6.0,1.0,0.0,0,0,0,1
224,0,14.5,0,1.0,1.0,0.0,0,0,0,1
245,0,10.5,0,1.0,1.0,0.0,0,0,0,1
1159,0,9.5,0,5.0,1.0,0.0,0,0,0,1
1981,0,9.0,0,0.0,1.0,0.0,1,0,0,0
154,0,3.5,0,7.0,1.0,0.0,0,0,0,1
117,0,9.0,0,0.0,1.0,0.0,1,0,0,0
1249,0,3.0,0,11.0,1.0,0.0,0,0,0,1
1261,0,2.5,0,0.0,0.0,1.0,1,0,0,0
344,0,3.5,0,0.0,1.0,0.0,1,0,0,0
354,0,6.5,0,11.0,0.0,1.0,0,0,0,1
273,0,1.5,0,5.0,0.0,1.0,0,0,0,1
403,0,4.5,0,0.0,1.0,0.0,1,0,0,0
907,0,3.5,0,7.0,1.0,0.0,0,0,0,1
307,0,3.0,0,7.0,0.0,1.0,0,0,0,1
735,0,4.5,0,3.0,1.0,0.0,0,1,0,0
1433,0,7.0,0,6.0,1.0,0.0,0,0,0,1
1128,0,3.0,0,3.0,0.0,1.0,0,0,0,1
309,0,14.5,0,8.0,1.0,0.0,0,0,0,1
507,0,2.5,0,0.0,1.0,0.0,1,0,0,0
1253,0,3.0,0,7.0,0.0,1.0,0,0,0,1
882,0,5.5,0,0.0,1.0,0.0,1,0,0,0
1841,0,6.5,0,0.0,1.0,0.0,1,0,0,0
483,0,11.5,0,1.0,0.0,1.0,0,0,0,1
400,0,3.0,0,2.0,1.0,0.0,0,0,0,1
1044,0,7.0,0,9.0,1.0,0.0,0,0,0,1
332,0,3.0,0,6.0,0.0,1.0,0,0,0,1
1549,0,14.5,0,5.0,1.0,0.0,0,0,0,1
1862,1,6.5,0,0.0,1.0,0.0,1,0,0,0
1065,1,5.0,0,4.844106463878327,1.0,0.0,0,0,0,1
110,0,1.0,0,0.0,1.0,0.0,1,0,0,0
900,0,6.0,0,15.0,1.0,0.0,0,0,0,1
262,1,10.0,0,4.844106463878327,1.0,0.0,0,0,0,1
634,0,6.0,0,11.0,1.0,0.0,0,0,0,1
1709,0,3.0,0,4.0,1.0,0.0,0,0,0,1
883,0,26.5,0,7.0,1.0,0.0,0,0,0,1
2057,0,9.0,0,11.0,1.0,0.0,0,0,0,1
1574,0,4.0,0,0.0,1.0,0.0,0,0,0,1
1668,0,2.5,0,0.0,0.0,1.0,1,0,0,0
62,0,7.0,0,0.0,0.0,1.0,1,0,0,0
28,0,7.0,0,8.0,1.0,0.0,0,0,0,1
2034,0,8.0,0,3.0,1.0,0.0,0,0,0,1
2121,0,5.0,0,3.0,1.0,0.0,0,0,0,1
1761,0,3.0,0,15.0,1.0,0.0,0,0,0,1
2014,0,8.0,0,6.0,1.0,0.0,0,0,0,1
1432,0,4.5,0,11.0,1.0,0.0,0,0,0,1
835,0,3.0,0,15.0,0.0,1.0,0,0,0,1
921,0,3.0,0,8.0,0.0,1.0,0,0,0,1
959,0,3.0,0,12.0,0.0,1.0,0,1,0,0
1989,0,3.0,0,4.0,0.0,1.0,0,0,0,1
133,0,1.0,0,2.0,0.0,1.0,0,0,0,1
918,0,2.5,0,17.0,0.0,1.0,0,0,0,1
1525,0,3.0,0,4.0,1.0,0.0,0,0,0,1
341,0,3.0,0,3.0,1.0,0.0,0,0,0,1
202,0,8.0,0,8.0,1.0,0.0,0,1,0,0
814,0,3.5,0,0.0,1.0,0.0,1,0,0,0
339,0,7.5,0,9.0,1.0,0.0,0,0,0,1
928,0,5.5,0,8.0,0.0,1.0,0,0,0,1
2053,0,13.5,0,7.0,1.0,0.0,0,0,0,1
819,0,5.5,0,0.0,1.0,0.0,1,0,0,0
